City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Busselton,-33.65,115.33,59.0,51.91,80,996,14.16,95
Rikitea,-23.12,-134.97,73.13,68.92,76,1016,16.93,87
Clyde River,70.47,-68.59,-0.4,-17.95,70,1016,19.46,20
Hilo,19.73,-155.09,79.09,78.55,62,1017,10.29,75
Atuona,-9.8,-139.03,77.27,76.98,72,1011,11.92,40
Albany,42.6,-73.97,62.13,60.49,54,1024,0.94,0
Novopokrovka,49.84,36.55,44.31,38.8,93,1022,6.71,90
Nikolskoye,59.7,30.79,34.18,27.63,80,1022,4.47,20
Phetchabun,16.25,101.08,69.66,70.84,79,1014,5.66,0
Vaini,-21.2,-175.2,77.0,80.53,78,1015,6.93,20
Mar del Plata,-38.0,-57.56,60.42,57.31,93,1021,10.29,0
Punta Arenas,-53.15,-70.92,50.0,30.7,57,1008,28.86,0
Verkhnyaya Khava,51.84,39.94,46.4,39.7,87,1018,8.95,75
Qaanaaq,77.48,-69.36,-7.17,-20.16,72,1020,11.12,77
Mataura,-46.19,168.86,52.0,47.44,84,1022,7.0,98
Korla,41.76,86.15,35.28,29.98,70,1022,1.74,0
Ushuaia,-54.8,-68.3,46.4,21.04,61,1000,39.15,75
Jamestown,42.1,-79.24,67.68,62.98,32,1028,3.36,1
Arlit,18.74,7.39,73.94,64.04,27,1018,12.93,0
Los Llanos de Aridane,28.66,-17.92,63.1,59.95,68,1023,6.93,20
Geraldton,-28.77,114.6,66.2,60.67,68,1009,12.75,90
Srednekolymsk,67.45,153.68,-5.13,-14.66,92,1019,5.26,90
Cape Town,-33.93,18.42,57.45,53.53,62,1023,4.7,75
Kandi,11.13,2.94,76.86,71.76,22,1014,3.56,87
Luleå,65.58,22.15,35.6,26.96,74,1015,8.05,0
Benghazi,32.12,20.07,66.36,63.72,69,1021,7.96,52
Tiksi,71.69,128.87,-9.0,-17.77,91,1020,3.71,39
Tolaga Bay,-38.37,178.3,60.17,57.79,90,1009,8.28,81
Laas,46.62,10.7,41.2,34.12,53,1026,4.7,5
Skjervøy,70.03,20.97,42.46,19.29,74,1002,35.54,100
Salmās,38.2,44.77,37.4,33.66,93,1028,1.3,20
Airai,-8.93,125.41,63.39,63.25,71,1010,2.37,36
Malakal,9.53,31.66,77.16,74.26,32,1011,3.09,0
Chokurdakh,70.63,147.92,-11.88,-20.09,91,1020,2.62,100
Cherskiy,68.75,161.3,2.26,-4.9,94,1016,1.61,96
Arraial do Cabo,-22.97,-42.03,75.2,79.65,88,1016,6.93,75
Zeya,53.75,127.27,2.64,-6.48,80,1021,4.88,0
Ngama,11.78,17.17,80.29,72.39,23,1012,9.78,8
Oshikango,-17.4,15.88,91.4,83.26,10,1015,6.93,58
Ambilobe,-13.2,49.05,75.58,77.67,76,1015,7.65,99
Puri,19.8,85.85,68.0,67.69,88,1013,9.4,0
Onokhoy,51.93,108.07,17.6,10.98,92,1021,2.24,0
Yellowknife,62.46,-114.35,26.19,15.91,73,1016,9.17,20
Bethel,41.37,-73.41,69.22,66.09,37,1028,2.26,1
George Town,5.41,100.34,77.0,86.18,94,1008,2.24,40
Tuktoyaktuk,69.45,-133.04,10.4,1.89,92,1000,4.7,75
College,64.86,-147.8,32.74,24.4,74,990,6.93,90
Barrow,71.29,-156.79,15.8,-0.8,85,1004,19.46,90
Coahuayana Viejo,18.73,-103.68,86.0,84.81,37,1015,5.82,5
Dikson,73.51,80.55,2.98,-10.01,94,991,12.01,98
Hobart,-42.88,147.33,52.54,47.73,71,1027,5.82,0
Faanui,-16.48,-151.75,79.18,79.27,78,1012,14.97,25
Port Lincoln,-34.73,135.87,67.91,59.49,45,1015,13.22,100
Esperance,-33.87,121.9,62.6,55.22,72,1004,14.99,0
Mayumba,-3.43,10.66,77.59,82.6,87,1014,7.9,98
Harper,4.38,-7.72,78.78,83.88,85,1014,8.19,49
Lagoa,39.05,-27.98,60.19,55.11,57,1023,6.91,97
Hermanus,-34.42,19.23,53.01,47.44,91,1023,10.25,31
Grindavik,63.84,-22.43,41.0,25.63,93,1010,23.04,75
Bubaque,11.28,-15.83,84.31,87.19,78,1013,15.05,25
Comarapa,-17.9,-64.48,72.64,68.85,45,1008,6.93,0
Constantine,36.37,6.61,59.0,54.99,44,1025,2.24,0
East London,-33.02,27.91,67.12,66.24,76,1019,6.91,99
Misratah,32.38,15.09,68.56,66.0,63,1023,7.56,3
Ballina,-28.87,153.57,65.07,61.21,63,1025,8.05,75
Yichang,30.71,111.28,54.0,50.02,56,954,2.66,0
Sibolga,1.74,98.78,76.84,84.54,83,1009,1.05,100
Sena Madureira,-9.07,-68.66,91.78,95.59,41,1006,2.37,79
